id,title,budget,keywords,genres,release_date,original_language,director,writer,compositor,main_actors,runtime,vote_average,vote_count,poster_path,overview
287947,Shazam!,80000000,philadelphia dc_comics secret_identity magic superhero based_on_comic wizard superhuman_strength aftercreditsstinger duringcreditsstinger,Comédie Aventure Fantastique,2019-03-23,en,David_F._Sandberg,Henry_Gayden,Benjamin_Wallfisch,Zachary_Levi Asher_Angel Jack_Dylan_Grazer Mark_Strong Djimon_Hounsou,132,73.0,951,https://image.tmdb.org/t/p/original/nZ1PmQaH4RaEPa2qPtqHjltqtp5.jpg,"On a tous un super-héros qui sommeille au fond de soi… il faut juste un peu de magie pour le réveiller. Pour Billy Batson, gamin débrouillard de 14 ans lacé dans une famille d'accueil, il suffit de crier 'Shazam !' pour se transformer en super-héros. Ado dans un corps d'adulte sculpté à la perfection, Shazam s'éclate avec ses tout nouveaux superpouvoirs. Est-il capable de voler ? De voir à travers n'importe quel type de matière ? De faire jaillir la foudre de ses mains ? Et de sauter son examen de sciences sociales ? Shazam repousse les limites de ses facultés avec l'insouciance d'un enfant. Mais il lui faudra maîtriser rapidement ses pouvoirs pour combattre les forces des ténèbres du Dr Thaddeus Sivana…"
299537,Captain Marvel,152000000,superhero based_on_comic superheroine woman_power super_power marvel_cinematic_universe 1990s alien_technology super_woman,Action Aventure Science-Fiction,2019-03-06,en,Ryan_Fleck,Gene_Colan,Pinar_Toprak,Brie_Larson Samuel_L._Jackson Jude_Law Ben_Mendelsohn Annette_Bening,123,72.0,3837,https://image.tmdb.org/t/p/original/3v6dxV5l6Zs2OcrAnIcuE9POeGY.jpg,Captain Marvel raconte l’histoire de Carol Danvers qui va devenir l’une des super-héroïnes les plus puissantes de l’univers lorsque la Terre se révèle l’enjeu d’une guerre galactique entre deux races extraterrestres.
166428,Dragons 3 : Le monde caché,129000000,flying based_on_novel_or_book overpopulation viking finale sequel cgi dragon based_on_children's_book third_part,Animation Familial Aventure,2019-01-03,en,Dean_DeBlois,Dean_DeBlois,John_Powell,Jay_Baruchel America_Ferrera F._Murray_Abraham Cate_Blanchett,104,76.0,1473,https://image.tmdb.org/t/p/original/lsifceBTpDx1KsdVtC2Xh1XQAgc.jpg,"Ce qui avait commencé comme une amitié improbable entre un jeune Viking et un redoutable dragon Fury Nocturne est devenu une épique trilogie retraçant leurs vies. Dans ce nouveau chapitre, Harold et Krokmou vont enfin découvrir leurs véritables destinées : être le chef de Berk au côté d’Astrid et, en tant que dragon, être le leader de son espèce. Alors qu’ils réalisent leurs rêves de vivre en paix entre Vikings et dragons, une sombre menace planant sur le village et l’apparition d’une femelle Fury Nocturne vont mettre à mal leurs liens d’amitié comme jamais auparavant."
522681,Escape Game,9000000,,Thriller,2019-01-03,en,Adam_Robitel,Bragi_Schut,John_Carey,Taylor_Russell Logan_Miller Jay_Ellis Tyler_Labine Deborah_Ann_Woll,99,63.0,802,https://image.tmdb.org/t/p/original/7RoNtS4k7HPC3ifE41zjTgR52wl.jpg,Six personnes se retrouvent dans une situation incontrôlable ou seule leur intelligence leur permettra de survivre.
329996,Dumbo,170000000,circus elephant missouri remake 1910s,Aventure Familial Fantastique,2019-03-27,en,Tim_Burton,Ehren_Kruger,James_Boyle,Colin_Farrell Michael_Keaton Danny_DeVito Eva_Green Finley_Hobbins,112,67.0,836,https://image.tmdb.org/t/p/original/ttN0czDnCpr64aj3ANGEf3DKE1L.jpg,"Holt Farrier, une ancienne star du cirque, voit sa vie changer au retour de la guerre. Le gérant Max Medici engage le père de famille pour s'occuper de leur nouveau éléphanteau, Dumbo, dont les larges oreilles sont déjà une source de moquerie auprès des visiteurs. Mais quand les enfants de Holt découvrent que l'éléphant peut voler, l'entrepreneur très persuasif V.A. Vandevere et la trapéziste Colette Marchant entrent en piste afin de faire de Dumbo une véritable star."
456740,Hellboy,50000000,witch supernatural superhero,Action Aventure Fantastique,2019-04-11,en,Neil_Marshall,Andrew_Cosby,Benjamin_Wallfisch,David_Harbour Milla_Jovovich Ian_McShane Daniel_Dae_Kim Sasha_Lane,121,50.0,120,https://image.tmdb.org/t/p/original/t6yV8fvL0DFR7sIh2Wtn9yWbhGf.jpg,"Hellboy affronte Nimue, épouse de Merlin et Reine de Sang. Leur lutte amorcera la fin du monde, un sort que le héros devra éviter à tout prix."
424783,Bumblebee,135000000,technology based_on_toy transformers robot spin_off 1980s autobot,Action Aventure Science-Fiction,2018-12-15,en,Travis_Knight,Christina_Hodson,Dario_Marianelli,Hailee_Steinfeld Jorge_Lendeborg_Jr. John_Cena Jason_Ian_Drucker Pamela_Adlon,114,64.0,1932,https://image.tmdb.org/t/p/original/jAWcwnGUhDn9SGSjhDFAbWmh9A7.jpg,"1987 - Alors qu'il est en fuite, l'Autobot Bumblebee trouve refuge dans la décharge d'une petite ville balnéaire de Californie. Il est découvert, brisé et couvert de blessures de guerre, par Charlie, une ado qui approche de ses 18 ans et cherche sa place dans le monde. Et quand elle le met en marche, elle se rend vite compte qu'il ne s'agit pas d'une voiture jaune ordinaire."
458723,Us,20000000,mask boardwalk murder suspense family_vacation home_invasion amusement_park santa_cruz_california 1980s hall_of_mirrors,Thriller Horreur,2019-03-14,en,Jordan_Peele,Jordan_Peele,Michael_Abels,Lupita_Nyong'o Winston_Duke Evan_Alex Shahadi_Wright_Joseph Elisabeth_Moss,116,73.0,1043,https://image.tmdb.org/t/p/original/5l4UPVn98JCL4oeIpDRHf6M5n3y.jpg,"Des parents emmènent leurs enfants dans leur maison secondaire près d'une plage afin de se détendre et de se déconnecter. Des amis les rejoignent. Au fur et à mesure que la nuit arrive, la sérénité se transforme en tension. Lorsque des invités - qui n'étaient pas prévus - se joignent au groupe, l'agitation palpable dégénère en chaos."
537915,After - chapitre I,0,based_on_novel_or_book love teenage_crush saga after,Drame Romance,2019-04-11,en,Jenny_Gage,Anna_Todd,,Josephine_Langford Hero_Fiennes_Tiffin Selma_Blair Jennifer_Beals Peter_Gallagher,106,68.0,216,https://image.tmdb.org/t/p/original/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,"Depuis son plus jeune âge, Tessa était promise à un avenir tout tracé : une vie rangée, une brillante carrière, un mariage tranquille avec son fiancé de toujours. Jusqu’à sa rencontre avec Hardin à son arrivée à l’université.Grossier, provocateur, cruel, c’est le garçon le plus détestable qu’elle ait jamais croisé. Et pourtant, ce bad boy tatoué pourrait bien lui faire perdre tout contrôle…"
411728,The Professor and the Madman,25000000,based_on_novel_or_book professor lunatic_asylum biography mental_patient dictionary 19th_century winston_churchill,Drame Histoire Mystère,2019-03-07,en,Farhad_Safinia,John_Boorman,,Mel_Gibson Sean_Penn Natalie_Dormer Ioan_Gruffudd,124,78.0,44,https://image.tmdb.org/t/p/original/yBaf5WjUqTQbc6mzPQBUcBiauDI.jpg,
